iter	Passed	Remaining
0	1	138
1	2	130
2	4	130
3	5	122
4	6	123
5	7	118
6	8	116
7	10	115
8	11	111
9	12	109
10	13	107
11	14	108
12	16	109
13	17	108
14	19	108
15	20	109
16	22	108
17	23	107
18	24	104
19	26	104
20	27	104
21	28	102
22	30	101
23	31	99
24	32	97
25	33	95
26	34	93
27	35	90
28	36	88
29	37	87
30	38	85
31	40	86
32	41	84
33	43	83
34	44	82
35	45	81
36	47	80
37	48	78
38	49	77
39	50	75
40	51	74
41	52	72
42	53	70
43	55	70
44	56	69
45	57	67
46	58	65
47	59	64
48	60	62
49	61	61
50	62	60
51	63	58
52	64	57
53	66	56
54	67	54
55	68	53
56	69	52
57	71	51
58	72	50
59	73	49
60	75	47
61	76	46
62	77	45
63	78	44
64	79	42
65	80	41
66	81	40
67	82	38
68	83	37
69	84	36
70	86	35
71	87	33
72	88	32
73	89	31
74	90	30
75	90	28
76	91	27
77	92	26
78	93	24
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	103	14
88	104	12
89	106	11
90	107	10
91	108	9
92	109	8
93	110	7
94	112	5
95	113	4
96	114	3
97	115	2
98	116	1
99	117	0
